Item Code,Brand,Item GTIN,Group,Item Description,Description (2),Description (3),Unit,Status,Condition,ABC Class,FLC Page No.,Internet Flag,Internet Tree,New Internet Tree,Reorder Policy,Standard Cost,Replacement Cost,Sales Cost,Region,Price 0 (ex GST),Qty Break 1,Price 1 (ex GST),Qty Break 2,Price 2 (ex GST),Qty Break 3,Price 3 (ex GST),Qty Break 4,Price 4 (ex GST),Whse,Bin Loc.,On Hand,Current Orders,Back Orders,On Order,Minimum stock,Maximum stock,Avg Mth Demand,Avg cost,Supplier,Supplier Item,Priority,Unit,Conv Factor,Pack Qty,E.O.Q.,Last Buy Date,Last Buy Price,Tax Code
1186574,,,PROM,RAPIDLINE OPERATOR CHAIR,Ergonomic Mesh Black,Bonus Arms,EACH,K,,A,,N,,,1,0,0,0,,0,99999999,0,99999999,0,99999999,0,99999999,0,JAY,,0,0,0,0,0,0,0,0,FNX,ERGOTASKP1,9,EACH,1,1,1,1899-12-31,0,
1BIND,,1BIND,1290,BINDING CHARGE,,,EACH,S,,Y,,N,,,1,0,0,0,,5.5,99999999,5.5,99999999,5.5,99999999,5.5,99999999,5.5,JAY,,0,0,0,0,0,0,0,0,NPS,1BIND,1,EACH,1,1,1,1899-12-31,0.01,
3DE-LOSCAMEMB1,,LOSCAMEMB1,3010,EMBROIDERY LOGO,LOSCAM,,EACH,S,,H,999,,,,Y,0,0,0,,3.25,99999999,3.25,99999999,3.25,99999999,3.25,99999999,3.25,JAY,ZZZZ,0,0,0,0,0,0,0,2.8,3DE,LOSCAMEMB1,1,EACH,1,1,1,2015-07-07,2.8,
492492,ACO,10470,1230,SASCO 12 MONTH PLANNER,UNDATED 910x605mm,,EACH,S,,D,999,,,,Y,0,0,0,,43.25,99999999,43.25,99999999,43.25,99999999,43.25,99999999,43.25,JAY,ZZZZ,0,0,0,0,0,0,0.25,34.02,ACO,10470,1,EACH,1,1,1,2018-11-22,34.02,
492492,ACO,10470,1230,SASCO 12 MONTH PLANNER,UNDATED 910x605mm,,EACH,S,,D,999,,,,Y,0,0,0,,43.25,99999999,43.25,99999999,43.25,99999999,43.25,99999999,43.25,JAY,ZZZZ,0,0,0,0,0,0,0.25,34.02,SSS,10252944,2,EACH,1,1,1,2018-10-09,38.66,
492495,ACO,10580/19,1230,# SASCO YEAR PLANNER DATED,875mm x 610mm 2019,*** USE CODE: OCP-0002418 ***,EACH,S,,D,2019-63,Y,,2008,1,0,0,0,,18.77,2,18.77,4,18.77,8,18.77,99999999,18.77,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,10580/18,1,EACH,1,10,10,2018-09-06,11.07,
492495,ACO,10580/19,1230,# SASCO YEAR PLANNER DATED,875mm x 610mm 2019,*** USE CODE: OCP-0002418 ***,EACH,S,,D,2019-63,Y,,2008,1,0,0,0,,18.77,2,18.77,4,18.77,8,18.77,99999999,18.77,JAY,ZZZZ,0,0,0,0,0,0,0,0,POR,,9,EACH,1,1,1,2019-01-02,16,
492495,ACO,10580/19,1230,# SASCO YEAR PLANNER DATED,875mm x 610mm 2019,*** USE CODE: OCP-0002418 ***,EACH,S,,D,2019-63,Y,,2008,1,0,0,0,,18.77,2,18.77,4,18.77,8,18.77,99999999,18.77,JAY,ZZZZ,0,0,0,0,0,0,0,0,SIS,,9,,1,1,1,2017-09-21,19.8,
492500,ACO,1106108,1120,MARBIG PRESENTATION FOLDERS A5,GLOSS WHITE PK10,,PACK,S,,8,,Y,,3001,Y,0,0,0,,13.78,2,13.33,4,12.52,6,11.16,99999999,13.78,JAY,JB35,5,0,0,0,0,0,0.9167,4.77,ACO,1106108,1,PACK,1,5,5,2018-11-22,4.77,
492502,ACO,11126CY,1120,CRYSTALFILE SUSPENSION FILES,ENVIRO A4 COMPLETE PK20,,PACK,S,,8,,,,1A01,Y,0,0,0,,46.14,2,43.84,4,42.39,6,40.96,99999999,46.14,JAY,ZZZZ,0,0,0,0,0,0,2,19.52,ACO,11126CY,9,PACK,1,5,5,1899-12-31,19.52,
492502,ACO,11126CY,1120,CRYSTALFILE SUSPENSION FILES,ENVIRO A4 COMPLETE PK20,,PACK,S,,8,,,,1A01,Y,0,0,0,,46.14,2,43.84,4,42.39,6,40.96,99999999,46.14,JAY,ZZZZ,0,0,0,0,0,0,2,19.52,GNS,89085,1,PACK,1,1,1,2018-11-22,19.52,
492507,ACO,11307C,1120,MARBIG F/CAP FILE SUSPENSION,COMPLETE BOX 50,,BOX,S,,8,,,,,1,0,0,0,,47.48,5,42.74,10,40.59,20,38.55,40,36.63,JAY,AV02,5,0,0,0,0,0,0.3636,24.77,ACO,11307C,1,BOX,1,3,3,2018-03-09,24.77,
492508,ACO,11365C,1120,TWINLOCK CRYSTALTABS RAINBOW,BX50,,BOX,S,,8,,,,1A01,1,0,0,0,,14.95,5,13.6,10,12.92,20,12.23,999999999,12.23,JAY,ZZZZ,0,0,0,0,0,0,0,7.25,ACO,11365C,9,BOX,1,1,1,2016-01-20,8.26,
492508,ACO,11365C,1120,TWINLOCK CRYSTALTABS RAINBOW,BX50,,BOX,S,,8,,,,1A01,1,0,0,0,,14.95,5,13.6,10,12.92,20,12.23,999999999,12.23,JAY,ZZZZ,0,0,0,0,0,0,0,7.25,GNS,42037,1,BOX,1,1,1,1899-12-31,8.96,
492514,ACO,136610,1200,SASCO WORK BOARD LARGE,910 x 600mm WHITE,,EACH,S,,8,,,,,Y,0,0,0,,59.75,5,57.96,10,56.16,20,54.37,99999999,59.75,JAY,ZZZZ,0,0,0,0,0,0,0,23.93,ACO,136610,1,EACH,1,1,1,2015-03-27,30.64,
492559,ACO,1810699,1070,MARBIG BRILLIANT SELF STICK,NOTES 75x75mm PK5,,PACK,S,,6,,Y,5A003Z01,1013,1,0,0,0,,14.96,3,13.52,6,11.27,12,10.39,999999999,10.39,JAY,QJ64,7,0,0,0,3.15,6.3,3.5,6.97,ACO,1810699,1,EACH,1,6,6,2019-01-04,6.97,
492559,ACO,1810699,1070,MARBIG BRILLIANT SELF STICK,NOTES 75x75mm PK5,,PACK,S,,6,,Y,5A003Z01,1013,1,0,0,0,,14.96,3,13.52,6,11.27,12,10.39,999999999,10.39,JAY,QJ64,7,0,0,0,3.15,6.3,3.5,6.97,POR,,9,PACK,1,1,1,2018-03-23,8.45,
492560,ACO,1810799,1070,MARBIG NOTES BRILLIANT CUBE,75X75MM 320SHT ASSORTED,,PACK,S,,8,,Y,,1013,Y,0,0,0,,11.18,3,10.73,5,10.09,10,9.91,99999999,11.18,JAY,ZZZZ,0,0,0,0,0,0,0.4,6.51,ACO,1810799,1,PACK,1,1,1,2018-11-29,6.51,
492560,ACO,1810799,1070,MARBIG NOTES BRILLIANT CUBE,75X75MM 320SHT ASSORTED,,PACK,S,,8,,Y,,1013,Y,0,0,0,,11.18,3,10.73,5,10.09,10,9.91,99999999,11.18,JAY,ZZZZ,0,0,0,0,0,0,0.4,6.51,SAD,,9,,1,1,1,2019-01-04,8.92,
492561,ACO,1810899,1070,MARBIG PASTEL CUBE NOTES,75x75mm ADHESIVE,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,14.01,3,12.64,6,10.54,12,9.72,999999999,9.72,JAY,QJ65,2,0,0,0,1.575,3.15,2,6.51,ACO,1810899,1,PACK,1,1,1,2018-09-28,6.51,
492561,ACO,1810899,1070,MARBIG PASTEL CUBE NOTES,75x75mm ADHESIVE,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,14.01,3,12.64,6,10.54,12,9.72,999999999,9.72,JAY,QJ65,2,0,0,0,1.575,3.15,2,6.51,CJO,,9,EACH,1,1,1,2015-09-08,10.87,
492561,ACO,1810899,1070,MARBIG PASTEL CUBE NOTES,75x75mm ADHESIVE,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,14.01,3,12.64,6,10.54,12,9.72,999999999,9.72,JAY,QJ65,2,0,0,0,1.575,3.15,2,6.51,OCS,,9,EACH,1,1,1,2017-01-27,12.01,
492562,ACO,1811099,1070,MARBIG RAINBOW CUBE NOTES,75x75mm ADHESIVE,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,14.01,3,12.64,6,10.54,12,9.72,999999999,9.72,JAY,QJ63,2,0,0,0,1.407,2.814,2.3333,6.51,ACO,1811099,1,PACK,1,1,1,2019-01-02,6.51,
492563,ACO,1811899,1070,MARBIG BRILLIANT MINI NOTES,40x50mm,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,5.89,3,5.32,6,4.43,12,4.08,999999999,4.08,JAY,QJ66,16,0,0,0,3.843,7.686,3.3333,2.74,ACO,1811899,1,PACK,1,10,10,2018-10-04,2.74,
492563,ACO,1811899,1070,MARBIG BRILLIANT MINI NOTES,40x50mm,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,5.89,3,5.32,6,4.43,12,4.08,999999999,4.08,JAY,QJ66,16,0,0,0,3.843,7.686,3.3333,2.74,ASO,,9,PACK,1,1,1,2017-09-28,4.78,
492563,ACO,1811899,1070,MARBIG BRILLIANT MINI NOTES,40x50mm,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,5.89,3,5.32,6,4.43,12,4.08,999999999,4.08,JAY,QJ66,16,0,0,0,3.843,7.686,3.3333,2.74,GNS,25146,9,PACK,1,1,1,1899-12-31,3.32,
492563,ACO,1811899,1070,MARBIG BRILLIANT MINI NOTES,40x50mm,,PACK,S,,6,,Y,5A003Z03,1013,1,0,0,0,,5.89,3,5.32,6,4.43,12,4.08,999999999,4.08,JAY,QJ66,16,0,0,0,3.843,7.686,3.3333,2.74,OCS,,9,,1,1,1,2016-10-24,5.05,
492566,ACO,1813501,1070,MARBIG TWIN PACK BLUE FLAGS,,,PACK,S,,8,,,,,1,0,0,0,,9.91,6,9.41,12,8.94,24,8.49,36,8.08,JAY,QF14,20,0,0,0,0,0,0,3.31,ACO,1813501,1,PACK,1,10,10,2018-03-09,3.31,
492567,ACO,1813503,1070,MARBIG TWIN PACK RED FLAGS,,,PACK,S,,8,,,,,1,0,0,0,,9.91,6,9.41,12,8.94,24,8.49,36,8.08,JAY,QF15,20,0,0,0,0,0,0,3.31,ACO,1813503,1,PACK,1,10,10,2018-03-09,3.31,
492568,ACO,1813504,1070,MARBIG TWIN PACK GREEN FLAGS,,,PACK,S,,8,,,,,1,0,0,0,,9.91,6,9.41,12,8.94,24,8.49,36,8.08,JAY,QF16,0,0,0,0,0,0,0,3.31,ACO,1813504,1,PACK,1,10,10,1899-12-31,3.31,
492569,ACO,1813505,1070,MARBIG TWIN PACK YELLOW FLAGS,,,PACK,S,,4,,Y,,1013,1,0,0,0,,9.91,6,9.41,12,8.94,24,8.49,36,8.08,JAY,QF17,36,1,0,0,20.643,41.286,32.4545,3.31,ACO,1813505,1,PACK,1,10,10,2018-12-17,3.31,
492605,ACO,18960,1080,MARBIG RED BLACK NOTEBOOK A4,200PG,,EACH,S,,8,,,,,Y,0,0,0,,7.06,99999999,7.06,99999999,7.06,99999999,7.06,99999999,7.06,JAY,ZZZZ,3,0,3,0,0,0,0,4.04,ACO,18960,2,EACH,1,5,5,1899-12-31,3.57,
492605,ACO,18960,1080,MARBIG RED BLACK NOTEBOOK A4,200PG,,EACH,S,,8,,,,,Y,0,0,0,,7.06,99999999,7.06,99999999,7.06,99999999,7.06,99999999,7.06,JAY,ZZZZ,3,0,3,0,0,0,0,4.04,SSS,10404158,1,EACH,1,1,1,2019-01-09,4.04,
492606,ACO,18961,1080,MARBIG NOTEBOOK WITH INDEX,200 PAGE,,EACH,S,,8,,,,,Y,0,0,0,,8.86,99999999,8.86,99999999,8.86,99999999,8.86,99999999,8.86,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,18961,1,EACH,1,5,5,1899-12-31,5.08,
492612,ACO,1900860,1200,NOBO DISPLAY BOARD LOCKABLE,WEATHER SEALED FOR OUTSIDE,USE 815x670mm,EACH,S,,8,,,,,Y,0,0,0,,469,99999999,469,99999999,469,99999999,469,99999999,469,JAY,ZZZZ,0,0,0,0,0,0,0.4,304.85,ACO,1900860,1,EACH,1,1,1,2018-08-09,304.85,
492614,ACO,1901031,1200,NOBO MOBILE REVERSIBLE,MAGNETIC WHITEBOARD,1500mm x 1200mm,EACH,S,,8,,N,,,Y,0,0,0,,562.93,99999999,562.93,99999999,562.93,99999999,562.93,99999999,562.93,JAY,ZZZZ,0,0,0,0,0,0,0,307.8,ACO,1901031,1,EACH,1,1,1,2014-11-19,409.82,
492625,ACO,1901438,1200,NOBO NOBOCLENE WHITEBOARD,CLEANING WIPES PK100,,PACK,S,,8,,,,1A01,Y,0,0,0,,13.95,99999999,13.95,99999999,13.95,99999999,13.95,99999999,13.95,JAY,ZZZZ,0,0,0,0,0,0,0,6.99,ACO,1901438,9,PACK,1,4,4,2016-10-17,7.27,
492634,ACO,1902208,1200,NOBO CLIPDOWN POSTER FRAME,A0 841x1189mm ALUMINIUM SILVER,,EACH,S,,8,999,,,,Y,0,0,0,,317.65,99999999,317.65,99999999,317.65,99999999,317.65,99999999,317.65,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,1902208,1,EACH,1,1,1,1899-12-31,144.08,
492634,ACO,1902208,1200,NOBO CLIPDOWN POSTER FRAME,A0 841x1189mm ALUMINIUM SILVER,,EACH,S,,8,999,,,,Y,0,0,0,,317.65,99999999,317.65,99999999,317.65,99999999,317.65,99999999,317.65,JAY,ZZZZ,0,0,0,0,0,0,0,0,EOS,,9,EACH,1,1,1,2014-09-09,126.93,
492640,ACO,1902397,1200,NOBO PROJECTION SCREEN 4:3,TRIPOD STAND 2000x1513mm,2500mm DIAGONAL,EACH,S,,8,,,,,Y,0,0,0,,291.67,99999999,291.67,99999999,291.67,99999999,291.67,99999999,291.67,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,1902397,1,EACH,1,1,1,2018-08-31,175,
